PersonID,Npubs,Nposters,QuantLevel,Job
112,3,1,3,1
113,2,6,1,1
114,1,1,2,1
115,1,2,2,0
116,3,4,1,1
117,1,6,2,1
118,3,3,3,1
119,4,2,3,1
120,3,3,3,1
121,1,3,1,0
122,1,2,3,1
123,1,5,3,1
124,2,6,1,1
125,5,2,2,1
126,2,1,2,1
127,3,5,3,1
128,5,6,3,1
129,2,2,2,1
130,0,2,2,0
131,6,5,2,1
132,3,5,1,1
133,2,5,2,1
134,5,1,2,1
135,5,3,1,1
136,8,8,2,1
137,2,1,3,0
138,6,1,2,1
139,2,3,1,1
140,4,5,3,1
141,1,3,1,0
142,2,3,2,0
143,2,4,3,0
144,2,2,2,0
145,2,4,1,0
146,5,6,1,1
147,3,4,1,1
148,2,3,3,0
149,3,5,2,1
150,0,7,2,0
151,3,6,1,1
152,5,0,2,1
153,4,6,2,1
154,2,6,2,1
155,2,4,3,0
156,2,5,1,0
157,3,1,1,1
158,1,3,1,1
159,2,4,2,1
160,2,2,2,1
161,3,5,1,1
162,4,4,2,1
163,4,3,3,1
164,3,3,3,0
165,1,2,2,0
166,3,7,3,1
167,5,7,2,1
168,3,6,2,1
169,4,7,1,1
170,3,3,3,1
171,2,3,3,1
172,5,4,2,1
173,3,3,1,1
174,3,6,2,1
175,4,5,2,1
176,6,6,1,1
177,5,6,2,1
178,3,5,1,1
179,2,7,2,1
180,5,3,2,1
181,3,2,1,1
182,1,7,1,1
183,2,5,2,1
184,4,4,2,1
185,3,2,3,1
186,3,6,2,1
187,4,4,2,1
188,1,7,1,1
189,1,5,2,1
190,2,3,2,1
191,2,4,2,1
192,3,3,1,1
193,3,1,1,1
194,5,7,1,1
195,4,3,2,1
196,3,7,2,1
197,0,5,1,0
198,1,5,3,1
199,2,1,1,1
200,3,5,3,1
201,1,3,2,1
202,8,2,2,1
203,4,1,3,1
204,3,5,3,1
205,0,5,2,1
206,3,3,1,1
207,0,4,1,0
208,3,8,1,1
209,4,3,1,1
210,2,1,1,0
211,2,4,3,1
212,3,5,2,1
213,4,2,1,1
214,3,4,2,1
215,4,2,2,1
216,2,3,3,1
217,1,6,3,1
218,2,1,2,1
219,3,4,1,1
220,1,6,1,1
221,3,7,3,1
222,10,0,1,1
223,2,1,3,0
224,3,3,1,1
225,4,4,3,1
226,4,2,1,1
227,1,5,1,1
228,4,4,2,1
229,2,1,2,1
230,2,9,3,1
231,0,2,2,0
232,5,4,2,1
233,0,4,2,0
234,5,5,1,1
235,2,4,1,0
236,1,7,3,1
237,0,2,2,1
238,5,9,3,1
239,2,1,1,0
240,5,5,1,1
241,4,4,3,1
242,5,6,3,1
243,1,7,2,1
244,2,6,1,1
245,4,8,2,1
246,5,9,1,1
247,0,4,3,1
248,6,6,3,1
249,2,1,2,0
250,3,2,1,1
251,2,14,2,1
252,1,1,2,1
253,0,1,2,0
254,6,4,1,1
255,6,9,2,1
256,0,11,3,1
257,1,8,2,1
258,4,6,1,1
259,3,2,3,1
260,1,4,2,1
261,3,3,1,0
262,1,3,3,1
263,2,1,2,1
264,5,5,2,1
265,0,6,1,1
266,1,2,1,1
267,1,5,2,1
268,2,3,2,1
269,1,5,3,1
270,3,8,1,1
271,7,6,1,1
272,4,1,1,1
273,1,3,2,1
274,2,6,3,1
275,2,6,2,1
276,3,4,2,1
277,1,2,1,0
278,4,4,3,1
279,4,6,1,1
280,4,5,3,1
281,1,5,2,1
282,3,5,2,1
283,3,6,1,1
284,5,0,2,0
285,3,3,3,1
286,3,3,2,0
287,4,4,2,1
288,7,6,3,1
289,5,5,2,1
290,2,5,3,1
291,5,3,2,1
292,2,2,2,1
293,4,6,1,1
294,5,3,1,1
295,2,4,3,1
296,2,6,1,1
297,5,4,3,1
298,1,5,3,0
299,5,4,2,1
300,3,5,3,1
301,3,6,1,1
302,7,3,2,1
303,4,5,3,1
304,3,3,2,1
305,4,5,3,1
306,4,6,2,1
307,4,4,2,1
308,5,7,2,1
309,3,4,1,0
310,0,4,1,0
311,4,8,3,1
312,1,3,2,1
313,6,4,2,1
314,1,5,1,1
315,0,4,1,0
316,7,7,2,1
317,2,6,3,1
318,1,2,2,0
319,2,9,1,1
320,3,2,2,1
321,3,4,3,1
322,2,5,2,0
323,5,4,2,1
324,0,2,3,0
325,2,2,2,0
326,5,5,1,1
327,1,7,1,1
328,2,5,1,1
329,2,5,3,1
330,2,3,1,1
331,7,9,2,1
332,2,3,2,1
333,3,1,2,1
334,4,3,2,1
335,2,4,3,1
336,4,2,3,1
337,3,2,2,1
338,10,5,2,1
339,2,2,3,0
340,3,1,1,1
341,1,3,2,1
342,4,9,3,1
343,5,2,1,1
344,1,5,1,0
345,3,3,2,1
346,3,4,1,1
347,2,5,2,0
348,1,4,1,1
349,6,1,3,1
350,2,1,3,0
351,7,4,1,1
352,6,4,2,1
353,6,8,1,1
354,4,4,2,1
355,5,3,1,1
356,0,1,1,0
357,3,2,3,0
358,1,2,3,1
359,2,4,1,1
360,3,8,3,1
361,2,4,2,0
362,3,6,1,1
363,2,12,1,1
364,4,2,3,0
365,4,4,1,1
366,4,1,2,1
367,6,3,3,1
368,4,5,2,1
369,2,6,2,1
370,6,3,2,1
371,4,11,2,1
372,2,1,3,1
373,3,3,3,1
374,2,2,2,1
375,2,4,3,1
376,1,7,2,1
377,4,4,2,1
378,0,6,1,1
379,9,4,2,1
380,3,5,2,1
381,5,5,3,1
382,0,7,3,1
383,4,6,1,1
384,2,5,1,1
385,5,3,2,1
386,5,5,2,1
387,7,5,2,1
388,1,1,1,0
389,2,3,3,1
390,2,6,2,1
391,2,9,1,1
392,2,9,1,1
393,0,6,2,1
394,0,3,2,1
395,0,2,2,0
396,5,4,1,1
397,7,7,3,1
398,8,2,3,1
399,5,5,3,1
400,3,4,3,1
401,3,3,2,1
402,4,4,1,1
403,1,2,2,0
404,3,5,2,1
405,6,9,3,1
406,3,7,1,1
407,7,2,2,1
408,2,4,2,1
409,3,1,2,1
410,3,4,2,0
411,2,3,2,0
412,3,3,2,1
413,3,5,3,1
414,4,4,2,1
415,3,4,1,1
416,0,7,2,1
417,2,5,2,1
418,2,3,2,1
419,1,3,1,1
420,4,4,2,1
421,3,7,3,1
422,3,7,2,1
423,3,5,3,1
424,2,3,2,0
425,2,7,3,0
426,1,8,2,1
427,2,2,1,1
428,4,5,2,1
429,1,4,3,1
430,4,3,2,1
431,1,2,3,0
432,2,2,3,0
433,2,6,1,1
434,3,6,1,1
435,3,6,3,1
436,2,4,1,0
437,4,6,3,1
438,1,3,2,1
439,2,3,3,1
440,1,7,2,1
441,2,1,1,0
442,3,2,2,1
443,5,2,2,1
444,1,2,1,0
445,2,4,2,1
446,6,6,2,1
447,2,5,3,1
448,3,5,1,1
449,3,0,1,0
450,1,5,1,0
451,3,8,2,1
452,2,4,2,1
453,2,7,2,1
454,3,4,2,1
455,5,5,1,1
456,3,1,2,1
457,2,4,1,1
458,2,2,2,0
459,4,4,1,1
460,3,2,3,1
461,2,4,3,1
462,3,2,3,0
463,4,4,3,1
464,6,6,1,1
465,4,4,2,1
466,4,3,2,1
467,1,2,2,0
468,6,4,1,1
469,5,4,1,1
470,3,3,1,1
471,4,2,2,1
472,4,3,3,1
473,2,3,3,1
474,2,4,3,1
475,2,2,1,1
476,2,3,2,0
477,2,4,2,1
478,7,4,3,1
479,5,5,2,1
480,1,8,3,1
481,6,8,1,1
482,4,6,2,1
483,5,3,1,1
484,3,2,3,1
485,4,3,3,1
486,7,4,2,1
487,2,5,2,1
488,6,6,2,1
489,6,1,2,1
490,1,6,2,0
491,5,4,2,1
492,5,5,3,1
493,6,4,2,1
494,4,1,1,1
495,1,7,1,1
496,3,0,2,1
497,4,4,1,1
498,1,4,2,0
499,6,4,1,1
500,2,4,2,1
501,2,3,1,0
502,2,5,1,1
503,0,4,2,1
504,5,7,2,1
505,3,1,2,1
506,1,4,3,1
507,3,1,1,1
508,0,3,3,1
509,3,2,1,1
510,2,6,3,1
511,6,3,3,1
512,3,3,1,1
513,4,3,3,1
514,0,3,3,0
515,3,4,3,1
516,1,8,3,1
517,5,1,2,0
518,3,2,2,1
519,6,11,2,1
520,4,4,2,1
521,2,2,3,1
522,2,3,2,0
523,5,4,3,1
524,2,4,3,1
525,3,4,2,1
526,3,8,2,1
527,5,2,2,1
528,3,3,3,1
529,2,3,1,1
530,1,5,3,1
531,1,1,1,1
532,9,2,1,1
533,3,4,2,1
534,2,5,3,1
535,3,4,3,1
536,4,5,3,1
537,6,2,3,1
538,1,2,3,0
539,0,1,2,0
540,0,3,3,1
541,4,1,2,0
542,2,3,2,1
543,5,4,3,1
544,3,4,2,1
545,0,6,1,1
546,0,5,2,0
547,5,7,3,1
548,4,6,3,1
549,4,6,2,1
550,1,4,1,0
551,0,3,2,0
552,3,7,1,1
553,7,2,1,1
554,2,5,1,1
555,2,4,1,1
556,4,2,2,0
557,1,4,1,0
558,0,4,3,1
559,4,6,2,1
560,2,3,1,1
561,1,3,1,1
562,1,2,1,1
563,2,4,3,1
564,3,7,2,1
565,2,5,3,1
566,3,1,3,1
567,3,8,2,1
568,0,5,2,1
569,1,3,3,1
570,3,2,1,0
571,3,4,1,1
572,3,3,2,1
573,1,7,3,1
574,2,7,3,1
575,2,3,2,1
576,3,3,3,1
577,5,7,1,1
578,2,7,3,1
579,2,3,3,1
580,3,4,1,1
581,2,4,3,1
582,1,5,3,1
583,2,5,3,1
584,4,2,2,1
585,3,5,3,1
586,2,4,2,1
587,6,4,2,1
588,1,1,2,0
589,5,2,2,0
590,4,6,2,1
591,6,3,3,1
592,2,4,1,1
593,3,5,1,1
594,4,0,2,0
595,2,3,2,1
596,2,6,1,1
597,4,5,2,1
598,0,4,2,1
599,2,7,1,1
600,2,2,2,1
601,5,3,1,1
602,2,6,2,1
603,6,5,1,1
604,2,5,1,1
605,4,4,1,0
606,1,10,3,1
607,1,1,2,0
608,3,1,1,0
609,2,4,1,1
610,4,4,3,1
611,0,1,3,1
612,3,6,3,1
613,2,2,3,1
614,5,9,3,1
615,8,4,2,1
616,1,3,2,0
617,4,8,1,1
618,3,2,1,1
619,4,2,1,1
620,3,7,3,1
621,3,4,2,1
622,2,6,2,1
623,5,1,2,1
624,5,4,3,1
625,4,8,2,1
626,0,1,1,0
627,3,3,2,1
628,3,8,2,1
629,2,2,2,1
630,0,3,2,0
631,5,1,1,1
632,2,5,2,1
633,7,6,1,1
634,3,2,2,1
635,3,4,1,0
636,3,4,1,0
637,1,2,2,0
638,4,4,2,1
639,5,6,1,1
640,3,1,2,1
641,0,2,3,0
642,5,4,1,1
643,1,1,3,1
644,5,6,1,1
645,0,3,3,0
646,2,7,2,1
647,2,3,1,0
648,2,5,2,1
649,4,7,2,1
650,2,8,2,1
651,1,4,2,1
652,3,3,1,1
653,3,4,3,1
654,1,1,2,0
655,1,5,2,1
656,3,2,1,0
657,2,7,2,1
658,4,4,2,1
659,4,4,2,0
660,0,1,3,0
661,3,9,3,1
662,1,2,2,1
663,2,7,3,1
664,6,7,3,1
665,1,6,1,0
666,3,4,2,1
667,5,3,2,1
668,9,4,3,1
669,5,5,1,1
670,2,8,3,1
671,1,2,3,1
672,1,7,3,1
673,2,4,2,1
674,2,2,1,0
675,3,7,3,1
676,3,0,2,0
677,3,4,1,1
678,3,7,2,1
679,2,7,3,0
680,2,4,1,0
681,3,5,3,1
682,5,3,2,1
683,4,6,3,1
684,0,5,2,0
685,4,2,3,1
686,2,3,3,1
687,4,4,2,1
688,6,1,3,1
689,5,4,2,1
690,5,3,2,1
691,5,3,2,1
692,4,2,2,1
693,3,7,3,1
694,5,5,2,1
695,3,3,2,1
696,4,5,2,1
697,3,2,1,1
698,2,4,3,0
699,5,5,3,1
700,3,6,1,1
701,2,7,2,1
702,1,3,1,0
703,1,4,2,0
704,2,5,3,1
705,4,5,2,1
706,2,5,3,1
707,3,2,1,1
708,3,6,1,0
709,4,6,2,1
710,6,4,2,0
711,5,4,2,1
712,4,2,1,1
713,5,3,3,1
714,3,7,2,1
715,4,4,3,1
716,1,0,1,0
717,3,1,1,0
718,1,8,3,1
719,7,4,2,1
720,3,4,3,1
721,6,4,2,1
722,1,3,2,0
723,6,4,2,1
724,3,3,2,1
725,2,11,3,1
726,1,4,1,0
727,2,1,2,0
728,4,2,2,1
729,2,3,3,1
730,3,4,2,1
731,6,3,2,1
732,5,2,3,1
733,5,6,2,1
734,8,3,2,1
735,5,2,1,1
736,4,4,3,1
737,0,3,1,0
738,4,2,2,1
739,2,2,3,0
740,3,9,2,1
741,1,5,3,1
742,3,3,3,1
743,0,6,2,0
744,2,5,1,0
745,2,3,2,1
746,0,3,2,0
747,2,3,2,1
748,3,9,2,1
749,2,6,1,1
750,3,7,2,1
751,2,4,1,1
752,1,3,2,0
753,6,5,3,1
754,2,4,2,1
755,2,3,2,1
756,5,5,1,1
757,1,8,1,1
758,3,3,3,1
759,3,1,3,0
760,5,6,3,1
761,3,5,1,1
762,3,4,1,1
763,2,0,1,1
764,3,3,2,1
765,1,7,3,1
766,4,5,2,1
767,3,5,3,1
768,2,6,3,1
769,2,0,2,0
770,2,4,2,1
771,3,2,1,1
772,2,4,1,1
773,6,5,3,1
774,1,6,2,1
775,4,4,2,1
776,4,1,1,1
777,3,2,3,0
778,3,2,2,1
779,6,3,1,1
780,3,0,3,1
781,0,5,2,1
782,6,1,2,1
783,3,2,3,1
784,1,3,3,1
785,3,0,1,0
786,1,6,2,1
787,2,7,2,1
788,4,5,3,1
789,7,4,2,1
790,3,5,1,1
791,2,10,1,1
792,0,4,2,0
793,3,5,1,1
794,6,2,1,1
795,6,4,3,1
796,2,4,3,1
797,1,5,2,1
798,5,4,3,1
799,4,7,2,1
800,1,5,1,1
801,5,4,2,1
802,0,3,3,1
803,3,4,2,0
804,7,2,1,1
805,1,0,1,0
806,1,5,3,1
807,2,0,2,1
808,2,6,2,1
809,3,2,2,1
810,1,5,3,1
811,1,4,2,1
812,2,6,1,1
813,0,2,1,0
814,4,4,3,0
815,3,8,3,1
816,5,4,3,1
817,3,3,2,1
818,3,2,3,1
819,2,6,3,1
820,1,7,2,1
821,2,5,3,1
822,3,3,2,1
823,3,5,2,1
824,5,4,2,1
825,3,2,2,0
826,2,5,2,1
827,5,3,3,1
828,3,2,3,1
829,6,5,2,1
830,4,1,2,1
831,3,5,1,1
832,2,3,2,0
833,2,8,3,1
834,3,4,2,1
835,6,4,1,1
836,6,6,3,1
837,2,8,3,1
838,3,1,2,1
839,1,2,1,1
840,3,3,3,1
841,4,1,2,1
842,2,7,3,1
843,3,1,1,1
844,4,3,1,1
845,4,1,2,1
846,4,4,3,1
847,1,5,3,1
848,4,4,1,1
849,1,5,1,0
850,3,5,1,0
851,2,5,3,1
852,5,4,1,1
853,3,7,1,1
854,2,3,1,0
855,5,2,3,1
856,5,6,3,1
857,6,2,2,1
858,5,7,1,1
859,3,7,3,1
860,2,7,2,1
861,2,5,2,1
862,4,2,2,1
863,2,5,2,1
864,2,3,3,1
865,4,3,2,1
866,5,5,2,1
867,2,4,2,1
868,1,2,2,0
869,2,3,1,0
870,2,4,2,1
871,2,2,1,0
872,4,1,1,0
873,6,3,1,1
874,3,1,1,1
875,3,0,2,1
876,2,4,2,1
877,1,4,3,1
878,6,7,2,1
879,4,3,1,1
880,5,5,2,1
881,4,1,2,1
882,2,2,3,0
883,5,7,1,1
884,4,2,3,1
885,3,1,2,1
886,6,4,2,1
887,1,2,2,1
888,6,3,1,1
889,3,5,3,1
890,3,6,3,1
891,5,4,2,1
892,1,1,1,0
893,2,7,3,1
894,2,3,3,1
895,4,3,3,1
896,3,4,1,1
897,7,4,2,1
898,1,2,2,1
899,2,1,2,1
900,2,6,2,1
901,2,4,2,1
902,2,3,2,1
903,4,5,2,1
904,3,6,2,1
905,0,4,1,1
906,2,1,3,0
907,3,2,3,1
908,3,3,3,1
909,1,9,3,0
910,2,1,2,0
911,4,4,3,1
912,3,0,2,0
913,2,4,3,1
914,6,4,3,1
915,1,4,1,0
916,1,6,1,1
917,3,2,1,1
918,3,4,3,1
919,5,3,2,1
920,2,5,1,1
921,6,2,3,1
922,5,2,2,1
923,3,2,3,1
924,2,3,1,0
925,7,2,2,1
926,1,6,3,1
927,5,5,3,1
928,5,2,2,1
929,4,6,2,1
930,2,2,1,1
931,5,1,3,0
932,4,5,2,1
933,3,7,2,1
934,4,4,2,1
935,4,3,2,1
936,2,3,2,0
937,1,7,1,1
938,6,1,2,1
939,1,4,2,1
940,3,5,1,1
941,4,5,2,1
942,4,7,2,1
943,5,3,3,1
944,1,6,3,1
945,2,7,3,1
946,3,3,2,1
947,3,7,2,1
948,0,3,3,0
949,3,0,1,1
950,1,7,2,1
951,5,2,3,1
952,3,5,2,1
953,2,5,1,1
954,3,2,1,1
955,3,4,2,1
956,6,2,1,1
957,3,1,2,1
958,3,3,3,1
959,10,2,2,1
960,5,2,2,1
961,5,5,3,1
962,3,5,1,1
963,2,8,2,1
964,6,3,3,1
965,4,5,1,1
966,4,4,2,1
967,5,2,2,1
968,5,2,3,1
969,2,3,1,0
970,4,1,1,1
971,3,7,2,1
972,3,4,3,1
973,6,5,3,1
974,1,4,2,0
975,2,1,3,1
976,6,7,1,1
977,1,2,3,1
978,1,3,3,0
979,2,7,2,1
980,5,5,2,1
981,3,8,3,1
982,1,5,3,1
983,2,1,3,1
984,2,6,2,1
985,11,4,3,1
986,3,4,3,1
987,1,5,2,0
988,2,4,1,0
989,2,4,2,0
990,1,4,1,0
991,0,2,2,0
992,3,3,1,0
993,4,2,3,1
994,2,2,2,1
995,1,4,1,1
996,3,5,3,1
997,1,5,1,1
998,4,3,3,1
999,6,2,3,1
1000,3,6,3,1
